DATE,PCPI06037
1969-01-01,4823
1970-01-01,5063
1971-01-01,5229
1972-01-01,5687
1973-01-01,6128
1974-01-01,6689
1975-01-01,7273
1976-01-01,7889
1977-01-01,8635
1978-01-01,9652
1979-01-01,10771
1980-01-01,11904
1981-01-01,13189
1982-01-01,13732
1983-01-01,14455
1984-01-01,15696
1985-01-01,16610
1986-01-01,17311
1987-01-01,18333
1988-01-01,19361
1989-01-01,20167
1990-01-01,21547
1991-01-01,21599
1992-01-01,22283
1993-01-01,22308
1994-01-01,22838
1995-01-01,23758
1996-01-01,24895
1997-01-01,25820
1998-01-01,27701
1999-01-01,28488
2000-01-01,29771
2001-01-01,30729
2002-01-01,31374
2003-01-01,32834
2004-01-01,35162
2005-01-01,37474
2006-01-01,40800
2007-01-01,42499
2008-01-01,43715
2009-01-01,42043
2010-01-01,43236
2011-01-01,46007
2012-01-01,48900
2013-01-01,48283
2014-01-01,51111
2015-01-01,54298
2016-01-01,55624
